Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
62,2011,NBA,1,2,MIN,Derrick Williams\willide02,20.034,F,us,University of Arizona,2012,2018,428,20.7,8.9,4.0,0.7,0.5,0.3,.434,.484,.300,.710,14.1,.076
63,2011,NBA,1,3,UTA,Enes Kanter\kanteen01,19.038,C,ch,,2012,2018,516,21.9,11.7,7.3,0.7,0.4,0.5,.539,.545,.294,.779,34.1,.145
64,2011,NBA,1,4,CLE,Tristan Thompson\thomptr01,20.107,F-C,ca,University of Texas at Austin,2012,2018,514,28.0,9.1,8.5,0.8,0.5,0.7,.518,.519,.000,.608,37.3,.124
65,2011,NBA,1,5,TOR,Jonas Valanciunas\valanjo01,19.052,C,lt,,2013,2018,435,25.5,11.7,8.5,0.7,0.4,1.0,.558,.561,.417,.784,40.7,.176
66,2011,NBA,1,6,WAS,Jan Vesely\veselja01,21.065,F,cz,,2012,2014,162,15.2,3.6,3.5,0.6,0.7,0.5,.521,.523,.000,.408,4.0,.078
67,2011,NBA,1,7,SAC,Bismack Biyombo\biyombi01,18.303,C-F,cd,,2012,2018,523,20.9,5.0,6.5,0.5,0.3,1.4,.512,.512,.000,.566,20.5,.090
68,2011,NBA,1,8,DET,Brandon Knight\knighbr03,19.208,G,us,University of Kentucky,2012,2017,382,31.3,15.2,3.3,4.3,0.9,0.2,.415,.445,.357,.812,11.6,.047
69,2011,NBA,1,9,CHA,Kemba Walker\walkeke02,21.051,G,us,University of Connecticut,2012,2018,519,34.0,19.0,3.8,5.4,1.3,0.4,.415,.444,.359,.833,41.0,.112
70,2011,NBA,1,10,MIL,Jimmer Fredette\fredeji01,22.123,G,us,Brigham Young University,2012,2016,235,13.4,6.0,1.0,1.4,0.4,0.0,.412,.432,.381,.876,2.4,.037
71,2011,NBA,1,11,GSW,Klay Thompson\thompkl01,21.140,G-F,us,Washington State University,2012,2018,532,32.9,19.2,3.4,2.3,0.9,0.5,.458,.486,.422,.851,41.5,.114
72,2011,NBA,1,12,UTA,Alec Burks\burksal01,19.343,G,us,University of Colorado,2012,2018,363,21.1,9.7,2.9,1.6,0.6,0.1,.426,.447,.352,.765,11.4,.071
73,2011,NBA,1,13,PHO,Markieff Morris\morrima02,21.299,F,us,University of Kansas,2012,2018,516,26.4,11.9,5.6,1.7,0.9,0.6,.452,.481,.339,.778,21.9,.077
74,2011,NBA,1,14,HOU,Marcus Morris\morrima03,21.299,F,us,University of Kansas,2012,2018,466,26.3,11.1,4.4,1.5,0.7,0.2,.429,.470,.359,.731,22.6,.088
75,2011,NBA,1,15,IND,Kawhi Leonard\leonaka01,19.364,F,us,San Diego State University,2012,2018,407,30.4,16.3,6.2,2.3,1.8,0.7,.495,.537,.386,.846,56.3,.219
76,2011,NBA,1,16,PHI,Nikola Vucevic\vucevni01,20.247,C,ch,University of Southern California,2012,2018,452,29.9,14.8,9.8,2.2,0.8,0.9,.499,.509,.311,.729,31.4,.111
77,2011,NBA,1,17,NYK,Iman Shumpert\shumpim01,21.002,G,us,Georgia Institute of Technology,2012,2018,384,25.4,7.3,3.4,1.9,1.2,0.2,.396,.441,.338,.763,11.5,.057
78,2011,NBA,1,18,WAS,Chris Singleton\singlch01,21.219,F,us,Florida State University,2012,2014,148,17.6,4.1,3.2,0.6,0.8,0.4,.376,.400,.319,.633,2.3,.042
79,2011,NBA,1,19,CHA,Tobias Harris\harrito02,18.347,F,us,University of Tennessee,2012,2018,459,29.6,14.6,5.6,1.7,0.8,0.5,.467,.508,.356,.811,32.2,.114
80,2011,NBA,1,20,MIN,Donatas Motiejunas\motiedo01,20.281,F-C,lt,,2013,2017,248,18.4,7.4,3.8,1.1,0.5,0.3,.469,.529,.300,.600,7.2,.076
81,2011,NBA,1,21,POR,Nolan Smith\smithno01,22.338,G,us,Duke University,2012,2013,84,9.9,3.3,1.0,1.2,0.3,0.0,.371,.407,.260,.714,-0.8,-0.047
82,2011,NBA,1,22,DEN,Kenneth Faried\farieke01,21.221,F,us,Morehead State University,2012,2018,441,24.9,11.4,8.2,1.0,0.8,0.8,.543,.546,.100,.655,35.9,.157
83,2011,NBA,1,23,HOU,Nikola Mirotic\mirotni01,20.137,F,me,,2015,2018,268,23.5,11.5,5.6,1.3,0.8,0.7,.414,.487,.354,.798,16.3,.124
84,2011,NBA,1,24,OKC,Reggie Jackson\jacksre01,21.073,G,it,Boston College,2012,2018,443,24.7,12.4,3.0,4.4,0.7,0.1,.431,.473,.321,.856,22.9,.100
85,2011,NBA,1,25,BOS,MarShon Brooks\brookma01,22.153,G-F,us,Providence College,2012,2018,166,17.6,7.9,2.2,1.4,0.6,0.2,.445,.473,.342,.756,2.8,.046
86,2011,NBA,1,26,DAL,Jordan Hamilton\hamiljo02,20.265,G-F,us,University of Texas at Austin,2012,2016,151,13.9,5.9,2.8,0.8,0.5,0.2,.408,.451,.357,.670,3.0,.069
87,2011,NBA,1,27,NJN,JaJuan Johnson\johnsja02,22.140,F,us,Purdue University,2012,2012,36,8.3,3.2,1.6,0.2,0.1,0.4,.446,.446,,.667,0.2,.032
88,2011,NBA,1,28,CHI,Norris Cole\coleno01,22.258,G,us,Cleveland State University,2012,2017,360,22.3,7.0,2.0,2.7,0.8,0.1,.407,.436,.324,.743,3.0,.018
89,2011,NBA,1,29,SAS,Cory Joseph\josepco01,19.312,G,ca,University of Texas at Austin,2012,2018,441,20.8,7.0,2.4,2.6,0.7,0.2,.451,.481,.330,.765,18.5,.097
90,2011,NBA,1,30,CHI,Jimmy Butler\butleji01,21.287,F-G,us,Marquette University,2012,2018,455,32.9,16.4,4.9,3.4,1.5,0.5,.452,.484,.340,.834,57.7,.185
91,2011,NBA,2,31,MIA,Bojan Bogdanovic\bogdabo02,22.071,G-F,ba,,2015,2018,314,26.8,12.1,3.2,1.3,0.5,0.1,.451,.514,.376,.862,11.4,.065
92,2011,NBA,2,32,CLE,Justin Harper\harpeju01,21.302,F,us,University of Richmond,2012,2017,22,6.8,2.0,0.8,0.2,0.1,0.1,.340,.417,.276,.333,-0.3,-0.093
93,2011,NBA,2,33,DET,Kyle Singler\singlky01,23.055,F,us,Duke University,2013,2018,356,21.9,6.5,2.9,0.8,0.6,0.3,.418,.458,.362,.786,10.0,.062
94,2011,NBA,2,34,WAS,Shelvin Mack\macksh01,21.067,G,us,Butler University,2012,2018,393,17.8,6.4,2.0,3.1,0.6,0.1,.426,.477,.326,.746,9.2,.063
95,2011,NBA,2,35,SAC,Tyler Honeycutt\honeyty01,20.348,F,us,University of California Los Angeles,2012,2013,24,5.0,1.2,1.0,0.4,0.2,0.2,.314,.333,.200,.714,-0.1,-0.049
96,2011,NBA,2,36,NJN,Jordan Williams\willijo03,20.260,F,us,University of Maryland,2012,2012,43,14.8,4.6,3.6,0.3,0.5,0.3,.507,.507,,.652,1.3,.101
97,2011,NBA,2,37,LAC,Trey Thompkins\thomptr02,21.039,F,us,University of Georgia,2012,2012,24,5.0,2.4,1.0,0.1,0.1,0.1,.393,.417,.308,.714,0.0,.004
